latitude,longitude,latbin,lonbin,tp
30.375,269.5,30.375,269.5,54.0
30.375,269.625,30.375,269.625,49.3
30.375,269.75,30.375,269.75,47.4
30.375,269.875,30.375,269.875,44.8
30.375,270.0,30.375,270.0,45.7
30.375,270.125,30.375,270.125,45.0
30.375,270.25,30.375,270.25,44.9
30.375,270.375,30.375,270.375,42.2
30.375,270.5,30.375,270.5,39.4
30.375,270.625,30.375,270.625,36.2
30.375,270.75,30.375,270.75,32.6
30.375,270.875,30.375,270.875,32.5
30.375,271.0,30.375,271.0,29.3
30.5,269.25,30.5,269.25,67.9
30.5,269.375,30.5,269.375,63.4
30.5,269.5,30.5,269.5,59.5
30.5,269.625,30.5,269.625,55.9
30.5,269.75,30.5,269.75,53.6
30.5,269.875,30.5,269.875,52.6
30.5,270.0,30.5,270.0,51.1
30.5,270.125,30.5,270.125,46.9
30.5,270.25,30.5,270.25,44.9
30.5,270.375,30.5,270.375,43.2
30.5,270.5,30.5,270.5,41.0
30.5,270.625,30.5,270.625,38.7
30.5,270.75,30.5,270.75,38.1
30.5,270.875,30.5,270.875,38.8
30.625,269.25,30.625,269.25,64.2
30.625,269.375,30.625,269.375,62.7
30.625,269.5,30.625,269.5,60.1
30.625,269.625,30.625,269.625,59.1
30.625,269.75,30.625,269.75,56.1
30.625,269.875,30.625,269.875,54.0
30.625,270.0,30.625,270.0,52.7
30.625,270.125,30.625,270.125,47.8
30.625,270.25,30.625,270.25,47.5
30.625,270.375,30.625,270.375,47.3
30.625,270.5,30.625,270.5,45.9
30.625,270.625,30.625,270.625,42.5
30.625,270.75,30.625,270.75,41.8
30.625,270.875,30.625,270.875,42.0
30.75,269.375,30.75,269.375,58.3
30.75,269.5,30.75,269.5,57.3
30.75,269.625,30.75,269.625,57.2
30.75,269.75,30.75,269.75,52.8
30.75,269.875,30.75,269.875,50.9
30.75,270.0,30.75,270.0,50.3
30.75,270.125,30.75,270.125,47.9
30.75,270.25,30.75,270.25,49.4
30.75,270.375,30.75,270.375,49.1
30.75,270.5,30.75,270.5,48.1
30.75,270.625,30.75,270.625,45.4
30.75,270.75,30.75,270.75,43.1
30.875,269.5,30.875,269.5,56.4
30.875,269.625,30.875,269.625,57.2
30.875,269.75,30.875,269.75,55.2
30.875,269.875,30.875,269.875,53.5
30.875,270.0,30.875,270.0,50.8
30.875,270.125,30.875,270.125,47.0
30.875,270.25,30.875,270.25,49.4
30.875,270.375,30.875,270.375,51.1
30.875,270.5,30.875,270.5,49.4
30.875,270.625,30.875,270.625,46.4
31.0,269.75,31.0,269.75,57.4
31.0,269.875,31.0,269.875,57.0
31.0,270.0,31.0,270.0,53.3
31.0,270.125,31.0,270.125,50.0
31.0,270.25,31.0,270.25,52.7
31.0,270.375,31.0,270.375,53.2
28.875,264.25,28.875,264.25,39.0
28.875,264.375,28.875,264.375,39.8
28.875,264.5,28.875,264.5,40.8
28.875,264.625,28.875,264.625,37.1
28.875,264.75,28.875,264.75,32.8
28.875,264.875,28.875,264.875,26.6
28.875,265.0,28.875,265.0,22.0
29.0,264.0,29.0,264.0,35.1
29.0,264.125,29.0,264.125,42.7
29.0,264.25,29.0,264.25,43.1
29.0,264.375,29.0,264.375,42.6
29.0,264.5,29.0,264.5,44.7
29.0,264.625,29.0,264.625,43.5
29.0,264.75,29.0,264.75,40.2
29.0,264.875,29.0,264.875,35.0
29.0,265.0,29.0,265.0,30.0
29.0,265.125,29.0,265.125,29.1
29.125,263.875,29.125,263.875,26.4
29.125,264.0,29.125,264.0,34.7
29.125,264.125,29.125,264.125,46.8
29.125,264.25,29.125,264.25,43.6
29.125,264.375,29.125,264.375,45.9
29.125,264.5,29.125,264.5,46.7
29.125,264.625,29.125,264.625,42.1
29.125,264.75,29.125,264.75,45.2
29.125,264.875,29.125,264.875,42.6
29.125,265.0,29.125,265.0,39.0
29.125,265.125,29.125,265.125,36.5
29.125,265.25,29.125,265.25,36.0
29.25,263.875,29.25,263.875,26.4
29.25,264.0,29.25,264.0,38.7
29.25,264.125,29.25,264.125,42.6
29.25,264.25,29.25,264.25,47.5
29.25,264.375,29.25,264.375,52.1
29.25,264.5,29.25,264.5,50.6
29.25,264.625,29.25,264.625,45.3
29.25,264.75,29.25,264.75,42.3
29.25,264.875,29.25,264.875,39.7
